L,answer_length, num_child
1,25,125977
2,27,740282
3,27,253078
4,27,70848
5,29,192826
6,29,342329
7,29,105921
8,29,153372
9,29,150523
10,31,425725
11,31,332401
12,31,599375
13,31,343287
14,33,546736
15,33,264501
16,35,359769
17,35,132283
18,35,103990
19,35,342894
20,37,220655
21,37,206291
22,39,524886
23,39,444017
24,39,587701
25,39,592806
26,41,808530
27,41,761619
28,41,1253611
29,41,1104134
30,41,1060145
31,41,1057519
