L,answer_length, num_child
1,29,3157
2,33,2398
3,37,6504
4,37,5488
5,31,2108
6,31,3847
7,31,1846
8,33,4070
9,33,1850
10,39,3157
11,37,5357
12,39,2935
13,37,2303
14,35,1466
15,35,1555
16,39,2287
17,37,1522
18,41,2290
19,43,2658
20,43,5546
21,45,4406
22,45,1692
23,45,3405
24,49,3622
25,51,4831
26,51,5069
27,51,5359
28,53,5173
29,49,2349
30,51,2560
31,51,2628
